freq,psd_x,psd_y,psd_z,psd_xyz
107.4,2.643e+05,1.824e+04,6.406e+02,2.831e+05
108.9,2.649e+05,1.720e+04,4.611e+02,2.826e+05
110.5,2.549e+05,1.636e+04,4.021e+02,2.716e+05
112.0,2.446e+05,1.655e+04,4.188e+02,2.615e+05
113.6,2.288e+05,1.558e+04,2.979e+02,2.447e+05
115.2,2.189e+05,1.597e+04,3.862e+02,2.353e+05
116.7,2.094e+05,1.631e+04,3.682e+02,2.261e+05
118.3,2.010e+05,1.640e+04,4.525e+02,2.178e+05
119.8,2.026e+05,1.675e+04,6.169e+02,2.200e+05
121.4,2.111e+05,1.737e+04,8.507e+02,2.293e+05
122.9,2.181e+05,1.867e+04,1.203e+03,2.380e+05
124.5,2.216e+05,2.078e+04,1.550e+03,2.439e+05
126.1,2.262e+05,2.395e+04,1.976e+03,2.521e+05
127.6,2.279e+05,2.791e+04,2.388e+03,2.582e+05
129.2,2.238e+05,3.233e+04,2.732e+03,2.589e+05
130.7,2.188e+05,3.699e+04,3.001e+03,2.587e+05
132.3,1.717e+05,3.358e+04,2.597e+03,2.079e+05
133.8,4.334e+04,9.400e+03,8.258e+02,5.357e+04
135.4,6.228e+03,1.880e+03,2.717e+02,8.379e+03
136.9,5.396e+03,1.991e+03,3.108e+02,7.698e+03
138.5,5.010e+03,2.325e+03,3.566e+02,7.691e+03
140.1,4.808e+03,2.598e+03,3.178e+02,7.724e+03
141.6,4.920e+03,2.884e+03,2.721e+02,8.076e+03
143.2,5.301e+03,3.712e+03,3.453e+02,9.359e+03
144.7,6.634e+03,5.293e+03,5.332e+02,1.246e+04
146.3,7.580e+03,6.646e+03,7.003e+02,1.493e+04
147.8,7.894e+03,7.849e+03,8.271e+02,1.657e+04
149.4,8.350e+03,9.136e+03,9.752e+02,1.846e+04
151.0,8.369e+03,9.517e+03,1.038e+03,1.892e+04
152.5,8.706e+03,9.618e+03,1.134e+03,1.946e+04
154.1,9.439e+03,1.047e+04,1.142e+03,2.105e+04
155.6,9.487e+03,1.055e+04,1.051e+03,2.109e+04
157.2,9.489e+03,1.004e+04,9.742e+02,2.051e+04
158.7,9.804e+03,9.824e+03,9.054e+02,2.053e+04
160.3,1.027e+04,9.974e+03,8.529e+02,2.110e+04
161.8,1.048e+04,1.065e+04,8.157e+02,2.195e+04
163.4,1.002e+04,1.153e+04,7.066e+02,2.226e+04
165.0,9.510e+03,1.188e+04,4.750e+02,2.186e+04
166.5,1.102e+04,1.515e+04,3.763e+02,2.654e+04
168.1,1.201e+04,1.926e+04,4.641e+02,3.173e+04
169.6,1.244e+04,2.240e+04,6.468e+02,3.549e+04
171.2,1.424e+04,2.557e+04,8.312e+02,4.064e+04
172.7,1.648e+04,2.799e+04,1.015e+03,4.548e+04
174.3,1.765e+04,2.927e+04,1.147e+03,4.806e+04
175.9,1.830e+04,3.016e+04,1.279e+03,4.974e+04
177.4,1.749e+04,2.694e+04,1.291e+03,4.572e+04
179.0,1.647e+04,2.152e+04,1.268e+03,3.925e+04
180.5,1.587e+04,1.688e+04,1.248e+03,3.400e+04
182.1,1.444e+04,1.351e+04,1.193e+03,2.914e+04
183.6,1.390e+04,1.184e+04,1.079e+03,2.682e+04
185.2,1.369e+04,1.003e+04,9.847e+02,2.471e+04
186.7,1.503e+04,8.427e+03,9.480e+02,2.440e+04
188.3,1.624e+04,6.618e+03,9.645e+02,2.383e+04
189.9,1.556e+04,5.062e+03,9.600e+02,2.159e+04
191.4,1.467e+04,3.378e+03,1.016e+03,1.907e+04
193.0,1.472e+04,2.377e+03,1.067e+03,1.817e+04
194.5,1.606e+04,2.528e+03,1.164e+03,1.976e+04
196.1,1.720e+04,2.859e+03,1.388e+03,2.145e+04
197.6,1.739e+04,3.245e+03,1.508e+03,2.214e+04
199.2,1.902e+04,4.624e+03,1.765e+03,2.541e+04
