freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.794e+02,1.375e+01,9.552e+00,6.027e+02
1.6,3.353e+02,2.058e+01,2.168e+01,3.775e+02
3.1,2.552e+01,1.818e+01,2.388e+01,6.758e+01
4.7,3.435e+02,1.688e+01,2.567e+01,3.860e+02
6.2,1.161e+03,1.441e+01,2.433e+01,1.200e+03
7.8,1.944e+03,1.640e+01,2.537e+01,1.985e+03
9.3,2.933e+03,2.049e+01,2.450e+01,2.978e+03
10.9,4.273e+03,2.025e+01,2.663e+01,4.320e+03
12.4,5.959e+03,2.117e+01,3.607e+01,6.016e+03
14.0,8.457e+03,2.320e+01,3.454e+01,8.515e+03
15.6,1.004e+04,2.288e+01,4.058e+01,1.010e+04
17.1,7.982e+03,2.224e+01,7.209e+01,8.076e+03
18.7,8.014e+03,2.264e+01,8.922e+01,8.126e+03
20.2,1.014e+04,2.325e+01,9.335e+01,1.026e+04
21.8,1.301e+04,3.895e+01,7.941e+01,1.312e+04
23.3,1.628e+04,7.436e+01,4.493e+01,1.640e+04
24.9,1.948e+04,8.471e+01,5.372e+01,1.962e+04
26.5,2.275e+04,8.713e+01,5.763e+01,2.289e+04
28.0,2.660e+04,6.560e+01,4.770e+01,2.672e+04
29.6,3.102e+04,3.153e+01,5.423e+01,3.111e+04
31.1,3.581e+04,3.822e+01,8.243e+01,3.593e+04
32.7,4.101e+04,5.275e+01,1.074e+02,4.117e+04
34.2,4.578e+04,5.533e+01,7.123e+01,4.591e+04
35.8,5.205e+04,6.449e+01,6.683e+01,5.218e+04
37.3,6.205e+04,8.257e+01,1.017e+02,6.223e+04
38.9,7.203e+04,1.070e+02,1.381e+02,7.228e+04
40.5,8.250e+04,1.291e+02,1.930e+02,8.282e+04
42.0,9.452e+04,1.793e+02,5.773e+02,9.527e+04
43.6,1.040e+05,1.958e+02,3.820e+02,1.046e+05
45.1,1.155e+05,2.163e+02,1.205e+02,1.158e+05
46.7,1.341e+05,2.845e+02,4.101e+02,1.348e+05
48.2,1.528e+05,3.797e+02,2.116e+03,1.553e+05
49.8,1.700e+05,3.399e+02,1.422e+03,1.718e+05
51.4,2.008e+05,2.930e+02,7.101e+02,2.018e+05
52.9,2.420e+05,3.026e+02,1.618e+03,2.439e+05
54.5,2.820e+05,2.415e+02,4.302e+03,2.866e+05
56.0,3.180e+05,1.085e+02,9.215e+03,3.273e+05
57.6,3.562e+05,1.108e+02,1.195e+04,3.683e+05
59.1,4.357e+05,3.363e+02,1.269e+04,4.487e+05
60.7,5.557e+05,8.173e+02,1.277e+04,5.693e+05
62.2,7.346e+05,1.815e+03,1.605e+04,7.525e+05
63.8,9.593e+05,3.216e+03,1.610e+04,9.786e+05
65.4,1.232e+06,4.831e+03,1.382e+04,1.251e+06
66.9,1.469e+06,5.766e+03,1.011e+04,1.485e+06
68.5,1.785e+06,6.203e+03,8.137e+03,1.799e+06
70.0,2.272e+06,6.525e+03,5.114e+03,2.283e+06
71.6,2.689e+06,6.272e+03,2.493e+03,2.698e+06
73.1,2.801e+06,4.562e+03,2.664e+03,2.809e+06
74.7,2.565e+06,2.446e+03,8.284e+03,2.576e+06
76.3,2.093e+06,8.324e+03,1.758e+04,2.119e+06
77.8,1.499e+06,1.711e+04,2.057e+04,1.537e+06
79.4,1.051e+06,1.730e+04,1.791e+04,1.086e+06
80.9,8.848e+05,1.955e+04,1.710e+04,9.214e+05
82.5,7.637e+05,1.871e+04,1.310e+04,7.955e+05
84.0,7.086e+05,1.734e+04,8.833e+03,7.347e+05
85.6,6.872e+05,1.754e+04,6.855e+03,7.116e+05
87.1,6.764e+05,1.715e+04,5.627e+03,6.992e+05
88.7,6.863e+05,1.636e+04,4.375e+03,7.070e+05
90.3,6.699e+05,1.600e+04,4.174e+03,6.901e+05
91.8,6.368e+05,1.688e+04,4.606e+03,6.583e+05
93.4,5.811e+05,1.763e+04,4.612e+03,6.034e+05
94.9,5.171e+05,1.719e+04,3.869e+03,5.382e+05
96.5,4.754e+05,1.759e+04,3.537e+03,4.965e+05
98.0,5.452e+05,1.992e+04,3.252e+03,5.683e+05
99.6,4.428e+05,1.861e+04,1.808e+03,4.633e+05
101.2,3.812e+05,1.960e+04,1.304e+03,4.021e+05
102.7,3.644e+05,1.986e+04,1.065e+03,3.853e+05
104.3,3.213e+05,1.943e+04,8.250e+02,3.416e+05
105.8,2.779e+05,1.821e+04,6.004e+02,2.967e+05
