freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.416e+01,2.978e+02,1.917e+02,5.037e+02
1.6,4.785e+01,2.183e+02,1.810e+02,4.471e+02
3.1,4.960e+01,7.824e+01,7.782e+01,2.057e+02
4.7,4.761e+01,4.073e+02,8.953e+01,5.445e+02
6.3,4.441e+01,1.255e+03,8.275e+01,1.382e+03
7.9,4.602e+01,2.181e+03,7.437e+01,2.302e+03
9.4,5.496e+01,3.322e+03,9.559e+01,3.473e+03
11.0,7.573e+01,5.005e+03,1.067e+02,5.188e+03
12.6,9.032e+01,5.584e+03,9.855e+01,5.772e+03
14.2,1.265e+02,6.584e+03,9.104e+01,6.802e+03
15.7,2.268e+02,8.278e+03,1.140e+02,8.619e+03
17.3,2.976e+02,1.139e+04,1.126e+02,1.180e+04
18.9,3.049e+02,1.659e+04,1.046e+02,1.700e+04
20.4,3.799e+02,2.390e+04,1.360e+02,2.442e+04
22.0,2.891e+02,2.527e+04,2.898e+02,2.585e+04
23.6,1.528e+02,2.112e+04,6.256e+02,2.190e+04
25.2,2.185e+02,2.243e+04,9.635e+02,2.361e+04
26.7,4.993e+02,2.824e+04,1.061e+03,2.981e+04
28.3,6.237e+02,2.717e+04,1.254e+03,2.905e+04
29.9,3.324e+02,2.539e+04,1.275e+03,2.700e+04
31.5,3.135e+02,3.363e+04,1.551e+03,3.549e+04
33.0,5.978e+02,4.138e+04,1.731e+03,4.371e+04
34.6,7.518e+02,3.720e+04,1.403e+03,3.935e+04
36.2,7.446e+02,3.499e+04,9.706e+02,3.670e+04
37.8,5.931e+02,4.399e+04,1.139e+03,4.572e+04
39.3,4.740e+02,5.782e+04,1.840e+03,6.013e+04
40.9,4.106e+02,7.800e+04,3.213e+03,8.162e+04
42.5,4.641e+02,1.074e+05,5.770e+03,1.136e+05
44.0,3.842e+02,1.504e+05,1.029e+04,1.611e+05
45.6,2.928e+02,2.445e+05,2.230e+04,2.671e+05
47.2,3.505e+02,5.021e+05,6.549e+04,5.679e+05
48.8,5.885e+02,6.299e+05,9.874e+04,7.292e+05
50.3,6.749e+02,3.246e+05,6.059e+04,3.859e+05
51.9,1.119e+03,2.367e+05,7.180e+04,3.096e+05
53.5,2.204e+03,2.106e+05,7.907e+04,2.919e+05
55.1,2.506e+03,2.102e+05,7.446e+04,2.872e+05
56.6,1.957e+03,2.982e+05,9.891e+04,3.991e+05
58.2,2.184e+03,5.622e+05,2.224e+05,7.869e+05
59.8,2.806e+03,8.827e+05,4.353e+05,1.321e+06
61.3,2.816e+03,8.998e+05,5.552e+05,1.458e+06
62.9,2.193e+03,6.909e+05,5.589e+05,1.252e+06
64.5,1.901e+03,4.947e+05,5.254e+05,1.022e+06
66.1,1.897e+03,3.452e+05,4.724e+05,8.194e+05
67.6,2.325e+03,2.306e+05,4.011e+05,6.341e+05
69.2,3.566e+03,1.608e+05,3.570e+05,5.213e+05
70.8,6.054e+03,1.145e+05,3.281e+05,4.487e+05
72.4,1.094e+04,9.307e+04,3.511e+05,4.551e+05
73.9,1.595e+04,8.361e+04,3.787e+05,4.783e+05
75.5,1.769e+04,8.603e+04,4.100e+05,5.137e+05
77.1,1.718e+04,9.281e+04,4.583e+05,5.683e+05
78.7,9.875e+03,1.025e+05,4.859e+05,5.983e+05
80.2,5.010e+03,1.012e+05,4.551e+05,5.614e+05
81.8,4.207e+03,9.274e+04,3.913e+05,4.882e+05
83.4,4.526e+03,8.235e+04,3.272e+05,4.141e+05
84.9,6.979e+03,7.910e+04,3.015e+05,3.876e+05
86.5,9.539e+03,7.973e+04,2.870e+05,3.763e+05
88.1,1.013e+04,7.742e+04,2.595e+05,3.471e+05
89.7,8.713e+03,7.363e+04,2.236e+05,3.060e+05
91.2,6.608e+03,7.159e+04,1.959e+05,2.741e+05
92.8,5.149e+03,6.945e+04,1.727e+05,2.473e+05
94.4,4.764e+03,6.519e+04,1.509e+05,2.209e+05
96.0,4.742e+03,5.847e+04,1.317e+05,1.949e+05
97.5,4.461e+03,4.924e+04,1.106e+05,1.643e+05
99.1,4.332e+03,4.053e+04,8.895e+04,1.338e+05
100.7,4.624e+03,3.697e+04,7.581e+04,1.174e+05
102.2,4.916e+03,3.944e+04,7.459e+04,1.189e+05
103.8,4.434e+03,4.021e+04,7.306e+04,1.177e+05
105.4,3.825e+03,3.697e+04,6.667e+04,1.075e+05
107.0,3.746e+03,3.591e+04,6.509e+04,1.047e+05
108.5,3.662e+03,3.440e+04,6.311e+04,1.012e+05
110.1,3.393e+03,3.257e+04,6.029e+04,9.626e+04
111.7,3.350e+03,3.080e+04,5.574e+04,8.989e+04
113.3,3.368e+03,2.858e+04,4.907e+04,8.102e+04
114.8,3.424e+03,2.707e+04,4.301e+04,7.350e+04
116.4,3.439e+03,2.593e+04,3.793e+04,6.730e+04
118.0,3.932e+03,2.503e+04,3.400e+04,6.296e+04
119.6,3.867e+03,2.454e+04,3.142e+04,5.982e+04
121.1,3.471e+03,2.371e+04,2.887e+04,5.605e+04
122.7,3.319e+03,2.173e+04,2.504e+04,5.008e+04
124.3,3.019e+03,1.994e+04,2.192e+04,4.488e+04
125.8,3.186e+03,1.861e+04,1.979e+04,4.159e+04
