freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.337e+02,5.852e+00,7.001e+00,2.465e+02
1.6,1.773e+02,2.956e+01,3.539e+01,2.423e+02
3.1,6.365e+01,3.623e+01,3.995e+01,1.398e+02
4.7,3.864e+02,3.424e+01,3.427e+01,4.550e+02
6.3,1.168e+03,3.024e+01,3.434e+01,1.233e+03
7.9,1.918e+03,2.897e+01,3.238e+01,1.979e+03
9.4,2.788e+03,3.538e+01,3.873e+01,2.862e+03
11.0,3.841e+03,3.682e+01,3.792e+01,3.916e+03
12.6,5.173e+03,3.903e+01,3.635e+01,5.248e+03
14.2,7.057e+03,4.305e+01,3.383e+01,7.134e+03
15.7,8.089e+03,6.184e+01,3.376e+01,8.185e+03
17.3,6.585e+03,7.645e+01,3.608e+01,6.698e+03
18.9,6.598e+03,8.083e+01,3.650e+01,6.715e+03
20.5,8.056e+03,1.043e+02,3.909e+01,8.199e+03
22.0,1.011e+04,1.092e+02,5.142e+01,1.027e+04
23.6,1.236e+04,7.332e+01,5.327e+01,1.249e+04
25.2,1.451e+04,7.803e+01,5.801e+01,1.464e+04
26.8,1.721e+04,1.185e+02,6.238e+01,1.739e+04
28.3,1.960e+04,1.374e+02,5.518e+01,1.980e+04
29.9,2.137e+04,7.037e+01,4.093e+01,2.148e+04
31.5,2.443e+04,8.412e+01,3.886e+01,2.455e+04
33.1,2.805e+04,1.411e+02,4.685e+01,2.824e+04
34.6,3.135e+04,1.405e+02,3.933e+01,3.153e+04
36.2,3.270e+04,9.101e+01,3.326e+01,3.283e+04
37.8,3.605e+04,5.265e+01,3.544e+01,3.614e+04
39.3,4.039e+04,4.528e+01,3.877e+01,4.047e+04
40.9,4.600e+04,5.692e+01,4.738e+01,4.611e+04
42.5,5.277e+04,1.592e+02,9.293e+01,5.302e+04
44.1,5.788e+04,1.503e+02,1.308e+02,5.816e+04
45.6,6.485e+04,1.278e+02,1.841e+02,6.517e+04
47.2,7.489e+04,1.976e+02,3.017e+02,7.539e+04
48.8,8.406e+04,4.094e+02,5.420e+02,8.502e+04
50.4,9.230e+04,9.825e+02,8.340e+02,9.412e+04
51.9,1.079e+05,1.949e+03,1.091e+03,1.109e+05
53.5,1.257e+05,2.454e+03,1.287e+03,1.294e+05
55.1,1.384e+05,1.398e+03,7.100e+02,1.406e+05
56.7,1.496e+05,2.827e+02,2.663e+02,1.502e+05
58.2,1.731e+05,3.615e+02,5.970e+02,1.741e+05
59.8,2.164e+05,8.479e+02,8.056e+02,2.180e+05
61.4,2.717e+05,1.196e+03,7.404e+02,2.736e+05
63.0,3.338e+05,1.551e+03,8.500e+02,3.362e+05
64.5,3.953e+05,2.547e+03,1.601e+03,3.995e+05
66.1,4.582e+05,3.522e+03,3.249e+03,4.650e+05
67.7,5.112e+05,3.410e+03,4.421e+03,5.190e+05
69.3,6.069e+05,2.397e+03,4.321e+03,6.136e+05
70.8,7.558e+05,1.599e+03,3.886e+03,7.613e+05
72.4,8.120e+05,1.299e+03,4.738e+03,8.180e+05
74.0,7.838e+05,6.934e+02,3.969e+03,7.885e+05
75.6,6.872e+05,3.880e+02,2.020e+03,6.897e+05
77.1,5.317e+05,2.325e+02,1.377e+03,5.333e+05
