freq,psd_x,psd_y,psd_z,psd_xyz
81.7,4.720e+03,1.034e+05,4.331e+05,5.412e+05
83.3,4.843e+03,1.002e+05,3.892e+05,4.942e+05
84.9,4.714e+03,1.019e+05,3.606e+05,4.672e+05
86.5,4.744e+03,9.987e+04,3.241e+05,4.287e+05
88.0,4.817e+03,9.455e+04,2.846e+05,3.840e+05
89.6,4.178e+03,8.981e+04,2.481e+05,3.420e+05
91.2,3.434e+03,8.485e+04,2.149e+05,3.031e+05
92.8,3.187e+03,8.113e+04,1.891e+05,2.734e+05
94.3,3.020e+03,7.882e+04,1.709e+05,2.527e+05
95.9,3.160e+03,7.537e+04,1.525e+05,2.310e+05
97.5,3.188e+03,7.100e+04,1.345e+05,2.087e+05
99.0,3.420e+03,6.597e+04,1.184e+05,1.878e+05
100.6,3.510e+03,6.012e+04,1.051e+05,1.687e+05
102.2,3.459e+03,5.488e+04,9.391e+04,1.523e+05
103.8,3.366e+03,4.922e+04,8.303e+04,1.356e+05
105.3,2.834e+03,4.253e+04,7.319e+04,1.186e+05
106.9,2.970e+03,3.969e+04,6.900e+04,1.117e+05
108.5,3.538e+03,3.737e+04,6.358e+04,1.045e+05
110.0,3.709e+03,3.490e+04,5.724e+04,9.585e+04
111.6,4.446e+03,3.229e+04,5.032e+04,8.706e+04
113.2,5.537e+03,3.060e+04,4.486e+04,8.100e+04
114.8,6.518e+03,2.969e+04,4.254e+04,7.875e+04
116.3,6.447e+03,2.838e+04,3.940e+04,7.422e+04
117.9,6.525e+03,2.700e+04,3.593e+04,6.946e+04
119.5,5.980e+03,2.555e+04,3.358e+04,6.511e+04
121.0,5.493e+03,2.390e+04,3.181e+04,6.120e+04
122.6,6.130e+03,2.185e+04,2.936e+04,5.734e+04
124.2,6.558e+03,1.937e+04,2.694e+04,5.287e+04
125.8,7.199e+03,1.652e+04,2.395e+04,4.767e+04
127.3,8.069e+03,1.353e+04,1.978e+04,4.138e+04
128.9,9.689e+03,1.042e+04,1.576e+04,3.587e+04
130.5,1.299e+04,1.157e+04,1.685e+04,4.141e+04
132.1,1.262e+04,1.608e+04,2.082e+04,4.952e+04
133.6,5.294e+03,6.706e+03,9.067e+03,2.107e+04
135.2,3.042e+03,1.523e+03,2.475e+03,7.040e+03
136.8,2.884e+03,1.523e+03,1.919e+03,6.326e+03
138.3,2.723e+03,1.451e+03,1.594e+03,5.768e+03
139.9,2.443e+03,1.331e+03,1.503e+03,5.277e+03
141.5,2.198e+03,1.437e+03,1.571e+03,5.206e+03
143.1,2.447e+03,1.383e+03,1.538e+03,5.368e+03
144.6,2.308e+03,1.190e+03,1.624e+03,5.121e+03
146.2,2.135e+03,1.187e+03,1.836e+03,5.158e+03
147.8,2.193e+03,1.291e+03,1.991e+03,5.475e+03
149.3,2.172e+03,1.271e+03,2.058e+03,5.501e+03
150.9,2.282e+03,1.361e+03,2.166e+03,5.809e+03
152.5,2.400e+03,1.310e+03,2.000e+03,5.710e+03
154.1,2.321e+03,1.172e+03,1.866e+03,5.358e+03
155.6,2.184e+03,1.249e+03,2.039e+03,5.472e+03
157.2,2.178e+03,1.234e+03,1.986e+03,5.398e+03
158.8,2.207e+03,1.286e+03,2.027e+03,5.520e+03
160.4,2.202e+03,1.120e+03,1.945e+03,5.268e+03
161.9,2.242e+03,9.981e+02,1.648e+03,4.888e+03
163.5,2.481e+03,9.743e+02,1.378e+03,4.833e+03
165.1,2.635e+03,1.008e+03,1.399e+03,5.041e+03
166.6,2.537e+03,9.965e+02,1.250e+03,4.784e+03
168.2,2.679e+03,9.856e+02,9.616e+02,4.626e+03
169.8,2.730e+03,1.005e+03,7.465e+02,4.481e+03
171.4,2.835e+03,1.158e+03,6.282e+02,4.621e+03
172.9,2.891e+03,1.101e+03,5.845e+02,4.576e+03
174.5,2.580e+03,1.003e+03,5.219e+02,4.105e+03
176.1,2.558e+03,1.115e+03,4.551e+02,4.128e+03
177.6,2.703e+03,1.280e+03,5.237e+02,4.506e+03
179.2,2.705e+03,1.491e+03,7.637e+02,4.959e+03
180.8,2.744e+03,1.691e+03,9.667e+02,5.402e+03
182.4,2.910e+03,1.611e+03,1.057e+03,5.578e+03
183.9,3.521e+03,1.512e+03,1.158e+03,6.191e+03
185.5,4.280e+03,1.680e+03,1.072e+03,7.032e+03
187.1,4.088e+03,1.343e+03,9.905e+02,6.421e+03
188.6,3.944e+03,1.030e+03,9.688e+02,5.943e+03
190.2,4.772e+03,1.304e+03,8.369e+02,6.913e+03
191.8,4.745e+03,1.250e+03,7.849e+02,6.779e+03
193.4,4.322e+03,1.111e+03,7.700e+02,6.203e+03
194.9,4.854e+03,1.143e+03,6.179e+02,6.615e+03
196.5,5.065e+03,1.290e+03,5.457e+02,6.901e+03
198.1,5.666e+03,1.267e+03,5.632e+02,7.496e+03
199.7,5.900e+03,1.242e+03,6.206e+02,7.762e+03
