freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.701e+01,3.072e+02,2.124e+02,5.466e+02
1.6,1.080e+02,2.565e+02,2.583e+02,6.228e+02
3.1,1.243e+02,1.525e+02,2.067e+02,4.835e+02
4.7,1.264e+02,5.044e+02,2.015e+02,8.323e+02
6.3,1.449e+02,1.380e+03,2.281e+02,1.753e+03
7.9,1.364e+02,2.253e+03,1.945e+02,2.584e+03
9.4,1.292e+02,3.334e+03,2.037e+02,3.667e+03
11.0,1.233e+02,4.817e+03,2.098e+02,5.150e+03
12.6,1.554e+02,5.806e+03,2.048e+02,6.167e+03
14.1,1.946e+02,7.089e+03,2.235e+02,7.507e+03
15.7,1.928e+02,8.905e+03,2.188e+02,9.316e+03
17.3,2.436e+02,1.184e+04,2.317e+02,1.232e+04
18.9,3.042e+02,1.692e+04,2.603e+02,1.748e+04
20.4,3.242e+02,2.381e+04,2.649e+02,2.440e+04
22.0,2.976e+02,2.900e+04,3.469e+02,2.964e+04
23.6,2.688e+02,2.872e+04,6.415e+02,2.963e+04
25.2,3.819e+02,2.795e+04,9.420e+02,2.927e+04
26.7,6.505e+02,3.260e+04,1.071e+03,3.432e+04
28.3,7.515e+02,3.378e+04,1.381e+03,3.591e+04
29.9,5.203e+02,2.919e+04,1.483e+03,3.119e+04
31.4,5.475e+02,3.359e+04,1.679e+03,3.581e+04
33.0,9.789e+02,4.462e+04,2.440e+03,4.803e+04
34.6,1.209e+03,4.596e+04,2.955e+03,5.012e+04
36.2,1.094e+03,3.956e+04,2.619e+03,4.327e+04
37.7,7.898e+02,4.066e+04,2.341e+03,4.379e+04
39.3,6.317e+02,4.705e+04,2.429e+03,5.011e+04
40.9,5.393e+02,5.962e+04,3.198e+03,6.335e+04
42.4,6.141e+02,7.778e+04,4.643e+03,8.304e+04
44.0,6.148e+02,9.922e+04,7.072e+03,1.069e+05
45.6,5.554e+02,1.337e+05,1.192e+04,1.462e+05
47.2,6.221e+02,1.902e+05,2.181e+04,2.127e+05
48.7,7.546e+02,2.714e+05,4.255e+04,3.147e+05
50.3,1.028e+03,3.497e+05,7.536e+04,4.260e+05
51.9,1.371e+03,3.807e+05,9.678e+04,4.788e+05
53.5,1.767e+03,5.113e+05,1.350e+05,6.480e+05
55.0,2.016e+03,8.149e+05,2.452e+05,1.062e+06
56.6,1.727e+03,1.022e+06,3.783e+05,1.402e+06
58.2,1.633e+03,1.079e+06,4.985e+05,1.579e+06
59.7,2.192e+03,1.014e+06,5.831e+05,1.599e+06
61.3,3.321e+03,7.889e+05,5.854e+05,1.378e+06
62.9,4.214e+03,5.716e+05,5.525e+05,1.128e+06
64.5,4.724e+03,4.106e+05,5.117e+05,9.270e+05
66.0,5.119e+03,2.966e+05,4.632e+05,7.649e+05
67.6,5.934e+03,2.086e+05,4.028e+05,6.173e+05
69.2,6.246e+03,1.508e+05,3.717e+05,5.287e+05
70.7,6.310e+03,1.126e+05,3.529e+05,4.717e+05
72.3,6.075e+03,9.930e+04,3.853e+05,4.907e+05
73.9,5.201e+03,8.974e+04,4.024e+05,4.973e+05
75.5,4.518e+03,8.721e+04,4.080e+05,4.997e+05
77.0,4.481e+03,8.943e+04,4.184e+05,5.123e+05
78.6,4.745e+03,9.823e+04,4.409e+05,5.438e+05
80.2,4.509e+03,1.050e+05,4.628e+05,5.724e+05
