freq,psd_x,psd_y,psd_z,psd_xyz
171.4,2.836e+03,2.419e+02,4.073e+03,7.151e+03
173.0,3.842e+03,2.782e+02,4.834e+03,8.954e+03
174.5,5.136e+03,3.803e+02,5.381e+03,1.090e+04
176.1,6.622e+03,5.265e+02,5.850e+03,1.300e+04
177.7,7.976e+03,6.490e+02,6.235e+03,1.486e+04
179.2,9.335e+03,7.345e+02,6.206e+03,1.628e+04
180.8,1.015e+04,7.973e+02,6.033e+03,1.698e+04
182.4,1.012e+04,7.861e+02,5.328e+03,1.624e+04
184.0,9.926e+03,7.404e+02,4.216e+03,1.488e+04
185.5,1.014e+04,7.382e+02,3.430e+03,1.431e+04
187.1,1.059e+04,7.416e+02,2.827e+03,1.416e+04
188.7,1.142e+04,7.352e+02,2.250e+03,1.440e+04
190.3,1.272e+04,7.625e+02,1.904e+03,1.539e+04
191.8,1.329e+04,8.040e+02,1.630e+03,1.572e+04
193.4,1.301e+04,8.168e+02,1.342e+03,1.517e+04
195.0,1.315e+04,8.503e+02,1.153e+03,1.515e+04
196.5,1.305e+04,9.514e+02,1.035e+03,1.504e+04
198.1,1.256e+04,9.947e+02,9.060e+02,1.446e+04
199.7,1.197e+04,1.011e+03,8.068e+02,1.379e+04
